sub_id,name,lat,lon,Pd,state,ba
35078,FERNDALE 1,48.8946,-122.67,61.01,WA,PSEI
35079,LA CENTER,45.8584,-122.666,20.07,WA,BPAT
35080,GIG HARBOR 3,47.4467,-122.645,38.05,WA,PSEI
35081,TACOMA 1,47.1496,-122.565,35.0,WA,PSEI
35082,PORT ORCHARD 3,47.5868,-122.668,57.18,WA,PSEI
35083,PORT ORCHARD 4,47.6145,-122.62,41.11,WA,PSEI
35084,VANCOUVER 9,45.7462,-122.552,37.97,WA,BPAT
35085,VANCOUVER 10,45.6971,-122.584,37.97,WA,BPAT
35086,VANCOUVER 11,45.6566,-122.64,52.25,WA,BPAT
35087,OLALLA,47.498,-122.665,19.72,WA,PSEI
35088,UNIVERSITY PLACE,47.1162,-122.596,35.35,WA,PSEI
35089,LAKEWOOD 1,47.1492,-122.575,33.06,WA,PSEI
35090,LAKEWOOD 2,47.0621,-122.607,33.52,WA,PSEI
35091,TACOMA 2,47.2402,-122.53,32.33,WA,BPAT
35092,TACOMA 3,47.2904,-122.56,15.22,WA,BPAT
35093,BAINBRIDGE ISLAND,47.6283,-122.493,55.26,WA,BPAT
35094,KINGSTON,47.8029,-122.537,25.6,WA,PSEI
35095,ROY 1,47.0922,-122.584,26.64,WA,PSEI
35096,TACOMA 4,47.3789,-122.464,47.72,WA,BPAT
35097,VANCOUVER 12,45.5753,-122.604,32.36,WA,PGE
35098,VANCOUVER 13,45.6205,-122.54,32.36,WA,BPAT
35099,LAKEWOOD 3,47.0746,-122.486,14.51,WA,PSEI
35100,TACOMA 5,47.2812,-122.419,51.86,WA,BPAT
35101,BATTLE GROUND 1,45.763,-122.424,41.08,WA,BPAT
35102,BATTLE GROUND 2,45.8824,-122.529,41.08,WA,BPAT
35103,VANCOUVER 14,45.575,-122.567,37.0,WA,PGE
35104,VANCOUVER 15,45.6766,-122.574,37.0,WA,BPAT
35105,BELLINGHAM 1,48.8277,-122.544,55.41,WA,PSEI
35106,BELLINGHAM 2,48.7084,-122.609,56.87,WA,PSEI
35107,LAKEWOOD 4,47.241,-122.413,48.59,WA,BPAT
35108,LAKEWOOD 5,47.2147,-122.577,68.06,WA,BPAT
35109,CAMANO ISLAND,48.209,-122.608,37.59,WA,PSEI
35110,YELM,46.8447,-122.451,51.74,WA,PSEI
35111,VANCOUVER 16,45.7632,-122.514,63.47,WA,BPAT
35112,VANCOUVER 17,45.7218,-122.566,63.47,WA,BPAT
35113,TACOMA 6,47.1245,-122.557,55.17,WA,PSEI
35114,VASHON,47.4255,-122.48,25.51,WA,PSEI
35115,TACOMA 7,47.2126,-122.441,57.98,WA,BPAT
35116,LYNDEN,49.0235,-122.465,45.34,WA,PSEI
35117,BRUSH PRAIRIE,45.6699,-122.371,21.66,WA,BPAT
35118,LANGLEY,48.012,-122.507,12.67,WA,PSEI
35119,TACOMA 8,47.2028,-122.354,40.75,WA,PSEI
35120,TACOMA 9,47.2014,-122.491,40.75,WA,BPAT
35121,TACOMA 10,47.3067,-122.518,24.17,WA,BPAT
35122,TACOMA 11,47.1904,-122.422,81.39,WA,BPAT
35123,BELLINGHAM 3,48.8083,-122.452,49.48,WA,PSEI
35124,BELLINGHAM 4,48.759,-122.436,49.48,WA,PSEI
35125,MOSSYROCK,46.4722,-122.371,12.52,WA,BPAT
35126,BELLINGHAM 5,48.6497,-122.474,36.39,WA,PSEI
35127,BELLINGHAM 6,48.7025,-122.479,36.39,WA,PSEI
35128,CLINTON 1,47.9174,-122.546,30.67,WA,PSEI
35129,TACOMA 12,47.2202,-122.495,38.5,WA,BPAT
35130,TACOMA 13,47.1365,-122.331,38.5,WA,BPAT
35131,BOW,48.6364,-122.354,9.41,WA,PSEI
35132,TACOMA 14,47.1045,-122.429,35.59,WA,BPAT
35133,TACOMA 15,47.1903,-122.338,35.59,WA,PSEI
35134,SEATTLE 1,47.6876,-122.504,47.25,WA,BPAT
35135,SEATTLE 2,47.6146,-122.326,53.38,WA,BPAT
35136,SEATTLE 3,47.5031,-122.327,35.45,WA,BPAT
35137,SPANAWAY 1,47.104,-122.398,51.81,WA,BPAT
35138,SPANAWAY 2,47.0282,-122.413,51.81,WA,BPAT
35139,TACOMA 16,47.3025,-122.311,48.36,WA,PSEI
35140,SEATTLE 4,47.6998,-122.309,37.64,WA,BPAT
35141,SEATTLE 5,47.7826,-122.491,37.64,WA,PSEI
35142,CAMAS 1,45.6124,-122.329,33.48,WA,BPAT
35143,CAMAS 2,45.644,-122.344,33.48,WA,BPAT
35144,SEATTLE 6,47.5435,-122.32,50.01,WA,BPAT
35145,SEATTLE 7,47.6768,-122.282,50.75,WA,BPAT
35146,SEATTLE 8,47.6954,-122.385,45.67,WA,BPAT
35147,MOUNT VERNON 1,48.3831,-122.401,34.46,WA,PSEI
35148,MOUNT VERNON 2,48.3917,-122.401,34.46,WA,PSEI
35149,TACOMA 17,47.2016,-122.308,41.16,WA,PSEI
35150,EDMONDS 1,47.8798,-122.514,43.93,WA,PSEI
35151,SEATTLE 9,47.7031,-122.337,50.49,WA,BPAT
35152,FEDERAL WAY 1,47.2992,-122.415,57.01,WA,BPAT
35153,FEDERAL WAY 2,47.2213,-122.426,57.01,WA,BPAT
35154,SEATTLE 10,47.4004,-122.328,31.11,WA,PSEI
35155,SEATTLE 11,47.4459,-122.341,31.11,WA,PSEI
35156,TACOMA 18,47.2861,-122.375,24.34,WA,BPAT
35157,SEATTLE 12,47.3627,-122.325,48.72,WA,PSEI
35158,SEATTLE 13,47.6889,-122.272,30.31,WA,PSEI
35159,SEATTLE 14,47.6404,-122.415,54.9,WA,BPAT
35160,BURLINGTON 1,48.4514,-122.416,35.69,WA,PSEI
35161,SEATTLE 15,47.6603,-122.337,49.72,WA,BPAT
35162,YACOLT,45.7986,-122.311,23.27,WA,BPAT
35163,SEATTLE 16,47.8251,-122.313,53.47,WA,PSEI
35164,SEATTLE 17,47.72,-122.376,53.47,WA,BPAT
35165,SEATTLE 18,47.6366,-122.399,55.09,WA,BPAT
35166,SEATTLE 19,47.7292,-122.331,55.09,WA,BPAT
35167,SEATTLE 20,47.665,-122.241,24.57,WA,PSEI
35168,EDMONDS 2,47.8822,-122.246,43.11,WA,PSEI
35169,EDMONDS 3,47.9219,-122.313,44.92,WA,PSEI
35170,EVERSON,48.906,-122.314,28.63,WA,PSEI
35171,SEATTLE 21,47.5328,-122.32,32.97,WA,BPAT
35172,SEATTLE 22,47.4956,-122.229,24.02,WA,PSEI
35173,PUYALLUP 1,47.1462,-122.344,53.39,WA,PSEI
35174,PUYALLUP 2,47.2703,-122.268,49.12,WA,PSEI
35175,PUYALLUP 3,47.0533,-122.224,32.24,WA,PSEI
35176,PUYALLUP 4,47.1606,-122.399,32.24,WA,BPAT
35177,SEATTLE 23,47.713,-122.347,49.81,WA,BPAT
35178,FEDERAL WAY 3,47.3951,-122.271,52.98,WA,PSEI
35179,FEDERAL WAY 4,47.2423,-122.343,52.98,WA,BPAT
35180,SEATTLE 24,47.3349,-122.263,56.71,WA,PSEI
35181,SEATTLE 25,47.313,-122.341,41.5,WA,PSEI
35182,STANWOOD,48.2045,-122.317,50.57,WA,BPAT
35183,MOUNTLAKE TERRACE,47.8313,-122.236,47.86,WA,PSEI
35184,SEATTLE 26,47.5936,-122.296,60.83,WA,BPAT
35185,MUKILTEO,47.8987,-122.223,48.61,WA,PSEI
35186,SEATTLE 27,47.6909,-122.296,39.33,WA,BPAT
35187,SEATTLE 28,47.7631,-122.316,39.33,WA,BPAT
35188,SEATTLE 29,47.421,-122.349,40.48,WA,PSEI
35189,SEATTLE 30,47.4298,-122.298,40.48,WA,PSEI
35190,SEATTLE 31,47.7113,-122.307,44.5,WA,BPAT
35191,SEATTLE 32,47.6398,-122.263,44.5,WA,BPAT
35192,SEATTLE 33,47.7043,-122.268,37.74,WA,PSEI
35193,SEATTLE 34,47.6408,-122.339,37.74,WA,BPAT
35194,SEATTLE 35,47.6708,-122.366,32.26,WA,BPAT
35195,SEATTLE 36,47.6468,-122.286,32.26,WA,BPAT
35196,SEATTLE 37,47.6732,-122.337,50.58,WA,BPAT
35197,LYNNWOOD 1,47.9233,-122.377,32.27,WA,PSEI
35198,LYNNWOOD 2,47.815,-122.321,32.27,WA,PSEI
35199,SEATTLE 38,47.653,-122.219,52.71,WA,PSEI
35200,SEATTLE 39,47.6345,-122.263,52.71,WA,BPAT
35201,SEATTLE 40,47.7292,-122.322,55.45,WA,BPAT
35202,SEATTLE 41,47.625,-122.198,55.45,WA,PSEI
35203,LYNNWOOD 3,47.8153,-122.367,43.2,WA,PSEI
35204,LYNNWOOD 4,47.8516,-122.336,43.2,WA,BPAT
35205,GRAHAM,47.0349,-122.184,87.17,WA,BPAT
35206,SEATTLE 42,47.5253,-122.244,55.47,WA,PSEI
35207,SEATTLE 43,47.4522,-122.208,51.28,WA,PSEI
35208,SEATTLE 44,47.507,-122.206,51.28,WA,PSEI
35209,LYNNWOOD 5,47.8401,-122.23,35.97,WA,PSEI
35210,LYNNWOOD 6,47.8719,-122.262,35.97,WA,PSEI
35211,PUYALLUP 5,47.1506,-122.347,53.94,WA,BPAT
35212,AUBURN 1,47.368,-122.276,38.29,WA,PSEI
35213,AUBURN 2,47.2525,-122.333,38.29,WA,BPAT
35214,PUYALLUP 6,47.1096,-122.356,44.83,WA,BPAT
35215,PUYALLUP 7,47.2232,-122.322,44.83,WA,PSEI
35216,EVERETT 1,47.8443,-122.275,47.26,WA,PSEI
35217,EVERETT 2,47.9909,-122.175,47.26,WA,PSEI
35218,KENT 1,47.3465,-122.284,40.62,WA,PSEI
35219,KENT 2,47.4797,-122.334,40.62,WA,BPAT
35220,KENMORE,47.7533,-122.29,49.01,WA,BPAT
35221,SEATTLE 45,47.5762,-122.154,57.82,WA,PSEI
35222,WASHOUGAL,45.6682,-122.212,50.93,WA,BPAT
35223,MARYSVILLE 1,48.1583,-122.276,32.62,WA,BPAT
35224,MARYSVILLE 2,48.0128,-122.197,32.62,WA,PSEI
35225,MERCER ISLAND,47.6218,-122.269,54.48,WA,BPAT
35226,EVERETT 3,47.8893,-122.252,41.22,WA,PSEI
35227,EVERETT 4,47.9502,-122.295,41.22,WA,PSEI
35228,SUMNER,47.2663,-122.163,25.11,WA,PSEI
35229,RENTON 1,47.5072,-122.157,25.47,WA,PSEI
35230,AUBURN 3,47.3545,-122.26,37.98,WA,PSEI
35231,AUBURN 4,47.3152,-122.129,37.98,WA,PSEI
35232,KIRKLAND 1,47.8022,-122.219,48.49,WA,PSEI
35233,KIRKLAND 2,47.7388,-122.216,48.49,WA,PSEI
35234,EVERETT 5,48.0627,-122.286,35.5,WA,BPAT
35235,EVERETT 6,47.958,-122.191,35.5,WA,PSEI
35236,BOTHELL 1,47.8138,-122.287,32.07,WA,PSEI
35237,BOTHELL 2,47.8688,-122.23,32.07,WA,PSEI
35238,BELLEVUE 1,47.5984,-122.191,33.54,WA,PSEI
35239,BELLEVUE 2,47.537,-122.259,33.54,WA,PSEI
35240,BOTHELL 3,47.7109,-122.228,35.05,WA,PSEI
35241,BOTHELL 4,47.7242,-122.24,35.05,WA,PSEI
35242,RENTON 2,47.4854,-122.17,52.57,WA,PSEI
35243,BOTHELL 5,47.8217,-122.188,61.36,WA,PSEI
35244,BOTHELL 6,47.782,-122.104,61.36,WA,PSEI
35245,KENT 3,47.3594,-122.271,40.52,WA,PSEI
35246,KENT 4,47.349,-122.238,40.52,WA,PSEI
35247,KENT 5,47.3235,-122.223,43.9,WA,PSEI
35248,KENT 6,47.3765,-122.219,43.9,WA,PSEI
35249,KIRKLAND 3,47.7263,-122.156,41.21,WA,PSEI
35250,KIRKLAND 4,47.7358,-122.095,41.21,WA,PSEI
35251,RENTON 3,47.4739,-122.246,38.99,WA,BPAT
35252,RENTON 4,47.4626,-122.113,38.99,WA,PSEI
35253,EVERETT 7,47.8353,-122.089,62.16,WA,PSEI
35254,EVERETT 8,47.8077,-122.202,62.16,WA,PSEI
35255,BELLEVUE 3,47.6034,-122.206,42.51,WA,PSEI
35256,BONNEY LAKE 1,47.145,-122.084,54.76,WA,PSEI
35257,BONNEY LAKE 2,47.116,-122.078,53.17,WA,PSEI
35258,EATONVILLE,46.8799,-122.16,28.73,WA,BPAT
35259,BELLEVUE 4,47.5212,-122.242,43.64,WA,PSEI
35260,BELLEVUE 5,47.5196,-122.234,43.64,WA,PSEI
35261,EVERETT 9,48.0135,-122.172,29.48,WA,PSEI
35262,MARYSVILLE 3,48.0409,-122.104,55.08,WA,PSEI
35263,MARYSVILLE 4,48.0427,-122.17,55.08,WA,PSEI
35264,MOUNT VERNON 3,48.3909,-122.136,40.3,WA,PSEI
35265,BELLEVUE 6,47.6734,-122.157,59.73,WA,PSEI
35266,WOODINVILLE 1,47.8101,-122.194,53.55,WA,PSEI
35267,AUBURN 5,47.3361,-122.095,47.78,WA,PSEI
35268,AUBURN 6,47.3826,-122.052,47.78,WA,PSEI
35269,RENTON 5,47.486,-122.14,50.33,WA,PSEI
35270,RENTON 6,47.5182,-122.211,50.33,WA,PSEI
35271,SEDRO WOOLLEY,48.5591,-122.061,58.98,WA,PSEI
35272,MAPLE FALLS,48.8663,-122.063,17.46,WA,PSEI
35273,REDMOND 1,47.6987,-122.162,70.13,WA,PSEI
35274,REDMOND 2,47.73,-122.177,70.13,WA,PSEI
35275,KENT 7,47.4375,-122.167,52.41,WA,PSEI
35276,KENT 8,47.352,-122.053,64.47,WA,PSEI
35277,RENTON 7,47.5654,-122.136,41.36,WA,PSEI
35278,RENTON 8,47.5841,-122.044,42.13,WA,PSEI
35279,SNOHOMISH 1,47.7753,-122.023,33.55,WA,PSEI
35280,SNOHOMISH 2,47.7964,-122.179,33.55,WA,PSEI
35281,BELLEVUE 7,47.5722,-122.102,58.59,WA,PSEI
35282,LAKE STEVENS 1,48.0716,-121.985,36.63,WA,PSEI
35283,LAKE STEVENS 2,47.9546,-122.115,36.63,WA,PSEI
35284,BUCKLEY,47.2107,-122.159,37.47,WA,PSEI
35285,CARSON 1,45.7705,-122.041,6.89,WA,BPAT
35286,WOODINVILLE 2,47.7174,-122.023,32.6,WA,PSEI
35287,SAMMAMISH 1,47.6539,-122.083,30.9,WA,PSEI
35288,SAMMAMISH 2,47.6533,-122.066,30.9,WA,PSEI
35289,SAMMAMISH 3,47.53,-122.106,49.72,WA,PSEI
35290,REDMOND 3,47.6984,-122.053,45.08,WA,PSEI
35291,ISSAQUAH 1,47.5088,-122.045,58.44,WA,PSEI
35292,ISSAQUAH 2,47.4204,-121.999,31.37,WA,PSEI
35293,ISSAQUAH 3,47.5484,-122.021,31.37,WA,PSEI
35294,SNOHOMISH 3,47.8617,-121.976,39.26,WA,PSEI
35295,SNOHOMISH 4,47.8765,-122.083,39.26,WA,PSEI
35296,MAPLE VALLEY 1,47.3322,-121.972,45.25,WA,PSEI
35297,MAPLE VALLEY 2,47.5141,-122.052,37.41,WA,PSEI
35298,STEVENSON,45.6247,-122.022,9.47,WA,BPAT
35299,ARLINGTON 1,48.2871,-122.039,48.98,WA,BPAT
35300,ARLINGTON 2,48.1649,-121.877,48.98,WA,BPAT
35301,ENUMCLAW,47.1536,-121.891,52.05,WA,PSEI
35302,FALL CITY 1,47.6184,-121.816,13.56,WA,PSEI
35303,MONROE 1,47.8344,-121.804,33.53,WA,BPAT
35304,MONROE 2,47.9353,-121.822,33.53,WA,PSEI
35305,CARNATION,47.7267,-121.899,16.24,WA,PSEI
35306,DUVALL,47.72,-121.79,25.74,WA,PSEI
35307,SNOQUALMIE,47.6707,-121.713,31.18,WA,PSEI
35308,SULTAN 1,47.8719,-121.774,15.83,WA,BPAT
35309,GRANITE FALLS,48.0007,-121.598,21.06,WA,BPAT
35310,NORTH BEND 1,47.4476,-121.62,35.95,WA,PSEI
35311,GOLD BAR,47.8387,-121.687,11.97,WA,BPAT
35312,WHITE SALMON,45.8583,-121.52,23.34,WA,BPAT
35313,DARRINGTON,48.2191,-121.308,5.11,WA,BPAT
35314,NACHES,46.8228,-121.284,12.65,WA,BPAT
35315,LYLE,45.6573,-121.134,8.11,WA,BPAT
35316,YAKIMA 1,46.52,-121.052,34.84,WA,BPAT
35317,CLE ELUM 1,47.2783,-120.851,23.34,WA,PSEI
35318,LEAVENWORTH,47.8317,-120.899,21.1,WA,CHPD
35319,GOLDENDALE 1,45.9276,-120.717,17.1,WA,BPAT
35320,WHITE SWAN,46.292,-120.781,5.59,WA,BPAT
35321,YAKIMA 2,46.6481,-120.678,52.69,WA,BPAT
35322,YAKIMA 3,46.7045,-120.683,42.29,WA,BPAT
35323,SELAH,46.873,-120.727,40.74,WA,BPAT
35324,YAKIMA 4,46.5831,-120.469,55.59,WA,BPAT
35325,YAKIMA 5,46.6723,-120.47,55.59,WA,BPAT
35326,WAPATO,46.5432,-120.569,36.42,WA,BPAT
35327,CASHMERE,47.4854,-120.482,20.01,WA,CHPD
35328,ELLENSBURG 1,47.0315,-120.532,36.29,WA,PSEI
35329,ELLENSBURG 2,46.9945,-120.431,38.97,WA,PSEI
35330,YAKIMA 6,46.7656,-120.424,36.2,WA,PSEI
35331,YAKIMA 7,46.8168,-120.485,36.2,WA,PSEI
35332,CHELAN,48.0169,-120.332,15.92,WA,CHPD
35333,WENATCHEE 1,47.3425,-120.277,49.17,WA,CHPD
35334,WENATCHEE 2,47.4248,-120.327,49.17,WA,CHPD
35335,WINTHROP,48.5775,-120.412,5.68,WA,DOPD
35336,TOPPENISH,46.2344,-120.294,31.74,WA,BPAT
35337,TWISP,48.3329,-120.338,7.28,WA,DOPD
35338,ZILLAH,46.4421,-120.185,48.67,WA,BPAT
35339,EAST WENATCHEE 1,47.4908,-120.118,38.11,WA,DOPD
35340,EAST WENATCHEE 2,47.4767,-120.147,34.46,WA,DOPD
35341,MALAGA,47.2553,-120.165,8.85,WA,BPAT
35342,MANSON,47.9079,-120.041,16.95,WA,CHPD
35343,MABTON,46.1405,-120.097,10.06,WA,BPAT
35344,GRANDVIEW,46.2234,-119.973,36.6,WA,BPAT
35345,QUINCY 1,47.1193,-119.794,28.08,WA,GCPD
35346,BREWSTER,48.0643,-119.69,11.76,WA,DOPD
35347,MATTAWA 1,46.7256,-119.625,20.36,WA,GCPD
35348,PROSSER,46.1752,-119.678,31.66,WA,BPAT
35349,ROYAL CITY,46.8538,-119.7,11.65,WA,GCPD
35350,SUNNYSIDE 1,46.5318,-119.56,52.83,WA,BPAT
35351,EPHRATA,47.4061,-119.534,26.53,WA,GCPD
35352,OKANOGAN,48.2962,-119.665,13.0,WA,DOPD
35353,BENTON CITY,46.3237,-119.53,22.08,WA,BPAT
35354,SOAP LAKE,47.4753,-119.519,13.67,WA,GCPD
35355,WEST RICHLAND,46.2844,-119.292,31.93,WA,BPAT
35356,MOSES LAKE 1,47.1599,-119.374,47.67,WA,GCPD
35357,MOSES LAKE 2,47.2058,-119.293,48.43,WA,GCPD
35358,RICHLAND 1,46.332,-119.296,51.22,WA,BPAT
35359,RICHLAND 2,46.3498,-119.264,32.37,WA,BPAT
35360,RICHLAND 3,46.1596,-119.357,33.21,WA,BPAT
35361,KENNEWICK 1,46.1784,-119.187,27.73,WA,BPAT
35362,OMAK,48.3025,-119.316,24.66,WA,DOPD
35363,TONASKET,48.6336,-119.347,15.44,WA,DOPD
35364,OROVILLE 1,48.9833,-119.219,11.72,WA,DOPD
35365,MESA 1,46.6475,-119.276,7.3,WA,BPAT
35366,OTHELLO,46.9002,-119.148,40.36,WA,BPAT
35367,KENNEWICK 2,46.1558,-119.146,58.5,WA,BPAT
35368,KENNEWICK 3,46.2059,-119.154,58.5,WA,BPAT
35369,KENNEWICK 4,46.119,-119.034,36.33,WA,BPAT
35370,KENNEWICK 5,46.1418,-119.034,35.81,WA,BPAT
35371,WARDEN,46.9803,-119.065,9.8,WA,GCPD
35372,PASCO 1,46.3067,-118.856,81.83,WA,BPAT
35373,PASCO 2,46.4504,-119.033,84.01,WA,BPAT
35374,COULEE DAM,48.0642,-118.908,19.08,WA,DOPD
35375,BURBANK 1,46.236,-118.973,8.84,WA,BPAT
35376,CONNELL,46.6152,-118.833,14.83,WA,BPAT
35377,REPUBLIC,48.5237,-118.725,10.54,WA,AVA
35378,COLLEGE PLACE,46.0608,-118.472,25.71,WA,BPAT
35379,RITZVILLE,47.1453,-118.431,11.54,WA,BPAT
35380,DAVENPORT,47.603,-118.245,18.18,WA,AVA
35381,KETTLE FALLS 1,48.6381,-118.056,16.75,WA,AVA
35382,DAYTON 1,46.2473,-117.768,13.52,WA,BPAT
35383,SPRINGDALE,48.0408,-117.937,12.06,WA,AVA
35384,COLVILLE,48.5904,-117.782,33.56,WA,AVA
35385,MEDICAL LAKE,47.5223,-117.695,44.13,WA,AVA
35386,CHEWELAH,48.3264,-117.614,21.97,WA,AVA
35387,CHENEY,47.448,-117.595,44.49,WA,AVA
35388,NINE MILE FALLS 1,47.8176,-117.626,26.49,WA,AVA
35389,SPOKANE 1,47.6986,-117.566,43.89,WA,AVA
35390,DEER PARK,48.0336,-117.55,37.73,WA,AVA
35391,SPOKANE 2,47.7976,-117.431,59.03,WA,AVA
35392,SPOKANE 3,47.7576,-117.424,59.03,WA,AVA
35393,SPOKANE 4,47.6004,-117.414,50.56,WA,AVA
35394,SPOKANE 5,47.7045,-117.488,50.56,WA,AVA
35395,SPOKANE 6,47.7299,-117.375,32.02,WA,AVA
35396,SPOKANE 7,47.6011,-117.461,16.23,WA,AVA
35397,COLFAX 1,46.8793,-117.435,12.43,WA,AVA
35398,SPOKANE 8,47.8353,-117.428,37.27,WA,AVA
35399,SPOKANE 9,47.5865,-117.342,48.46,WA,AVA
35400,SPOKANE 10,47.6851,-117.361,37.02,WA,AVA
35401,SPOKANE 11,47.7601,-117.386,37.02,WA,AVA
35402,SPOKANE 12,47.6639,-117.367,51.79,WA,AVA
35403,COLBERT,47.8809,-117.31,20.58,WA,AVA
35404,SPOKANE 13,47.5957,-117.263,35.13,WA,AVA
35405,SPOKANE 14,47.5037,-117.321,42.81,WA,AVA
35406,SPOKANE 15,47.6871,-117.291,46.07,WA,AVA
35407,CHATTAROY,48.0173,-117.297,11.64,WA,AVA
35408,CLARKSTON 1,46.3546,-117.284,52.07,WA,BPAT
35409,SPOKANE 16,47.7636,-117.293,41.82,WA,AVA
35410,SPOKANE 17,47.5894,-117.303,41.76,WA,AVA
35411,SPOKANE 18,47.7083,-117.31,41.76,WA,AVA
35412,ELK,48.1135,-117.325,9.47,WA,AVA
