Bus,Pd,v_nom,balancing_area,state,country,county,reeds_zone,reeds_ba,interconnect,x,y,sub_id,substation_off,LAF_state,type,carrier,unit,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,generator,sub_network,nerc_reg,trans_reg,trans_grp,reeds_state,rec_trading_zone
2010017,25.89,138.0,BPAT,Washington,US,p53049,p2,BPAT,Western,-123.615,46.656,35010.0,False,0.0016122734550291537,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010018,24.47,138.0,BPAT,Washington,US,p53027,p2,BPAT,Western,-123.294,47.0719,35011.0,False,0.0015238443972407643,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010019,0.0,345.0,BPAT,Washington,US,p53009,p2,BPAT,Western,-123.332,47.988,35012.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010020,53.35,138.0,BPAT,Washington,US,p53009,p2,BPAT,Western,-123.332,47.988,35012.0,False,0.0033223170655004,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010021,8.99,138.0,BPAT,Washington,US,p53069,p2,BPAT,Western,-123.332,46.1904,35013.0,False,0.0005598431193786053,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010022,48.19,138.0,BPAT,Washington,US,p53045,p2,BPAT,Western,-123.13,47.1504,35014.0,False,0.003000983306213013,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010023,0.0,345.0,BPAT,Washington,US,p53045,p2,BPAT,Western,-123.072,47.1479,35015.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010024,43.96,138.0,BPAT,Washington,US,p53045,p2,BPAT,Western,-123.072,47.1479,35015.0,False,0.002737564352378586,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010025,30.89,138.0,PSEI,Washington,US,p53067,p1,BPAT,Western,-123.042,46.7918,35016.0,False,0.0019236433768192566,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010026,18.65,138.0,BPAT,Washington,US,p53055,p1,BPAT,Western,-123.0922,48.5372,35017.0,False,0.0011614098082770843,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010027,0.0,138.0,BPAT,Washington,US,p53009,p2,BPAT,Western,-123.158,48.0874,35018.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010028,32.23,138.0,BPAT,Washington,US,p53009,p2,BPAT,Western,-123.158,48.0874,35018.0,False,0.002007090515859004,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010029,32.23,138.0,BPAT,Washington,US,p53009,p2,BPAT,Western,-123.082,48.0024,35019.0,False,0.002007090515859004,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010030,0.0,138.0,PSEI,Washington,US,p53067,p1,BPAT,Western,-123.132,47.0228,35020.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010031,39.8,138.0,PSEI,Washington,US,p53067,p1,BPAT,Western,-123.132,47.0228,35020.0,False,0.0024785045774492202,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010032,41.5,138.0,PSEI,Washington,US,p53067,p1,BPAT,Western,-123.143,47.0673,35021.0,False,0.0025843703508578553,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010033,59.05,138.0,BPAT,Oregon,US,p41009,p5,BPAT,Western,-123.011,46.1277,35022.0,False,0.006362214158269908,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,OR,WREGIS
2010034,0.0,138.0,BPAT,Washington,US,p53015,p2,BPAT,Western,-122.989,46.1467,35023.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010035,59.05,138.0,BPAT,Washington,US,p53015,p2,BPAT,Western,-122.989,46.1467,35023.0,False,0.003677278776341117,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010036,0.0,138.0,BPAT,Washington,US,p53015,p2,BPAT,Western,-122.989,46.1467,35023.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010037,58.29,138.0,PSEI,Washington,US,p53041,p2,BPAT,Western,-122.963,46.66,35024.0,False,0.0036299505482290215,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010038,36.59,138.0,BPAT,Washington,US,p53045,p2,BPAT,Western,-123.021,47.1433,35025.0,False,0.0022786050876599743,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010039,0.0,138.0,BPAT,Washington,US,p53045,p2,BPAT,Western,-123.021,47.1433,35025.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010040,43.57,138.0,PSEI,Washington,US,p53067,p1,BPAT,Western,-122.923,47.1717,35026.0,False,0.002713277498478958,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010041,20.08,138.0,BPAT,Washington,US,p53041,p2,BPAT,Western,-122.896,46.4187,35027.0,False,0.0012504616059090536,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010042,59.25,138.0,PSEI,Washington,US,p53041,p2,BPAT,Western,-122.848,46.7548,35028.0,False,0.003689733573212721,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010043,0.0,138.0,BPAT,Washington,US,p53045,p2,BPAT,Western,-122.926,47.4535,35029.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010044,37.54,138.0,BPAT,Washington,US,p53045,p2,BPAT,Western,-122.926,47.4535,35029.0,False,0.0023377653728000936,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010045,25.35,138.0,BPAT,Washington,US,p53015,p2,BPAT,Western,-122.809,46.3394,35030.0,False,0.0015786455034758225,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010046,0.0,138.0,PSEI,Washington,US,p53067,p1,BPAT,Western,-122.858,46.9955,35031.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010047,45.76,138.0,PSEI,Washington,US,p53067,p1,BPAT,Western,-122.858,46.9955,35031.0,False,0.002849657524223023,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010048,45.76,138.0,PSEI,Washington,US,p53067,p1,BPAT,Western,-122.886,46.9904,35032.0,False,0.002849657524223023,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010049,0.0,138.0,PSEI,Washington,US,p53067,p1,BPAT,Western,-122.886,46.9904,35032.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010050,0.0,138.0,PSEI,Washington,US,p53067,p1,BPAT,Western,-122.886,46.9904,35032.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010051,0.0,138.0,BPAT,Washington,US,p53055,p1,BPAT,Western,-122.78053,48.65694,35033.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010052,17.51,138.0,BPAT,Washington,US,p53055,p1,BPAT,Western,-122.78053,48.65694,35033.0,False,0.001090417466108941,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010053,43.68,138.0,PSEI,Washington,US,p53067,p1,BPAT,Western,-122.852,47.0745,35034.0,False,0.00272012763675834,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010054,43.32,138.0,PSEI,Washington,US,p53031,p2,BPAT,Western,-122.891,48.0143,35035.0,False,0.0026977090023894527,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010055,17.57,138.0,PSEI,Washington,US,p53067,p1,BPAT,Western,-122.807,46.9218,35036.0,False,0.0010941539051704222,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010056,0.0,138.0,PSEI,Washington,US,p53067,p1,BPAT,Western,-122.807,46.9218,35036.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010057,0.0,345.0,PSEI,Washington,US,p53067,p1,BPAT,Western,-122.722,46.9892,35037.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010058,43.93,138.0,PSEI,Washington,US,p53067,p1,BPAT,Western,-122.722,46.9892,35037.0,False,0.0027356961328478453,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010059,0.0,345.0,PSEI,Washington,US,p53067,p1,BPAT,Western,-122.722,46.9892,35037.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010060,43.93,138.0,PSEI,Washington,US,p53067,p1,BPAT,Western,-122.791,47.003,35038.0,False,0.0027356961328478453,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010061,51.07,138.0,PSEI,Washington,US,p53053,p1,BPAT,Western,-122.752,47.1839,35039.0,False,0.0031803323811641125,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010062,0.0,138.0,PSEI,Washington,US,p53035,p1,BPAT,Western,-122.809,47.5276,35040.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010063,0.0,138.0,PSEI,Washington,US,p53035,p1,BPAT,Western,-122.809,47.5276,35040.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010064,36.24,138.0,PSEI,Washington,US,p53035,p1,BPAT,Western,-122.809,47.5276,35040.0,False,0.002256809193134667,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010065,46.26,138.0,PSEI,Washington,US,p53035,p1,BPAT,Western,-122.878,47.5296,35041.0,False,0.0028807945164020334,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010066,0.0,13.8,PSEI,Washington,US,p53035,p1,BPAT,Western,-122.878,47.5296,35041.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010067,0.0,13.8,PSEI,Washington,US,p53035,p1,BPAT,Western,-122.878,47.5296,35041.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010068,0.0,1.0,PSEI,Washington,US,p53035,p1,BPAT,Western,-122.878,47.5296,35041.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010069,58.86,138.0,BPAT,Washington,US,p53015,p2,BPAT,Western,-122.84,46.0854,35042.0,False,0.003665446719313093,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010070,11.07,138.0,BPAT,Washington,US,p53053,p1,BPAT,Western,-122.739,47.3623,35043.0,False,0.0006893730068432882,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010071,38.37,138.0,PSEI,Washington,US,p53067,p1,BPAT,Western,-122.715,46.8946,35044.0,False,0.0023894527798172505,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010072,0.0,138.0,PSEI,Washington,US,p53067,p1,BPAT,Western,-122.693,47.0142,35045.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010073,38.37,138.0,PSEI,Washington,US,p53067,p1,BPAT,Western,-122.693,47.0142,35045.0,False,0.0023894527798172505,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010074,0.0,138.0,BPAT,Washington,US,p53015,p2,BPAT,Western,-122.767,46.0192,35046.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010075,14.72,138.0,BPAT,Washington,US,p53015,p2,BPAT,Western,-122.767,46.0192,35046.0,False,0.0009166730497500635,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010076,27.96,138.0,BPAT,Washington,US,p53053,p1,BPAT,Western,-122.788,47.3039,35047.0,False,0.0017411806026502562,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010077,28.46,138.0,BPAT,Washington,US,p53011,p2,BPAT,Western,-122.691,45.7379,35048.0,False,0.0017723175948292666,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010078,0.0,345.0,PSEI,Washington,US,p53035,p1,BPAT,Western,-122.658,47.7074,35049.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010079,55.86,138.0,PSEI,Washington,US,p53035,p1,BPAT,Western,-122.658,47.7074,35049.0,False,0.003478624766239031,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010080,0.0,24.0,PSEI,Washington,US,p53035,p1,BPAT,Western,-122.658,47.7074,35049.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010081,0.0,1.0,PSEI,Washington,US,p53035,p1,BPAT,Western,-122.658,47.7074,35049.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010082,0.0,138.0,PSEI,Washington,US,p53035,p1,BPAT,Western,-122.715,47.7601,35050.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010083,22.32,138.0,PSEI,Washington,US,p53035,p1,BPAT,Western,-122.715,47.7601,35050.0,False,0.00138995533087102,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010084,0.0,138.0,PSEI,Washington,US,p53073,p1,BPAT,Western,-122.772,48.9,35051.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010085,40.86,138.0,PSEI,Washington,US,p53073,p1,BPAT,Western,-122.772,48.9,35051.0,False,0.002544515000868722,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010086,0.0,138.0,PSEI,Washington,US,p53073,p1,BPAT,Western,-122.772,48.9,35051.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010087,10.87,138.0,PSEI,Washington,US,p53029,p1,BPAT,Western,-122.682,47.9481,35052.0,False,0.000676918209971684,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010088,0.0,138.0,PSEI,Washington,US,p53035,p1,BPAT,Western,-122.614,47.5032,35053.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010089,33.23,138.0,PSEI,Washington,US,p53035,p1,BPAT,Western,-122.614,47.5032,35053.0,False,0.0020693645002170247,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010090,33.23,138.0,BPAT,Washington,US,p53053,p1,BPAT,Western,-122.622,47.4023,35054.0,False,0.0020693645002170247,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010091,37.67,138.0,BPAT,Washington,US,p53011,p2,BPAT,Western,-122.686,45.8363,35055.0,False,0.0023458609907666367,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010092,31.46,138.0,BPAT,Washington,US,p53011,p2,BPAT,Western,-122.652,45.7159,35056.0,False,0.0019591395479033285,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010093,31.46,138.0,PGE,Oregon,US,p41051,p5,BPAT,Western,-122.775,45.6572,35057.0,False,0.0033895894567175498,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,OR,WREGIS
2010094,0.0,138.0,BPAT,Washington,US,p53053,p1,BPAT,Western,-122.67,47.3081,35058.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010095,0.0,138.0,BPAT,Washington,US,p53053,p1,BPAT,Western,-122.67,47.3081,35058.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010096,18.02,138.0,BPAT,Washington,US,p53053,p1,BPAT,Western,-122.67,47.3081,35058.0,False,0.0011221771981315314,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010097,31.02,138.0,BPAT,Washington,US,p53015,p2,BPAT,Western,-122.568,46.0356,35059.0,False,0.0019317389947857992,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010098,19.84,138.0,PSEI,Washington,US,p53053,p1,BPAT,Western,-122.665,47.1074,35060.0,False,0.0012355158496631289,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010099,0.0,138.0,PSEI,Washington,US,p53053,p1,BPAT,Western,-122.665,47.1074,35060.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010100,0.0,138.0,PGE,Oregon,US,p41051,p5,BPAT,Western,-122.658,45.5909,35061.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,OR,WREGIS
2010101,0.0,138.0,PGE,Oregon,US,p41051,p5,BPAT,Western,-122.658,45.5909,35061.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,OR,WREGIS
2010102,33.88,138.0,PGE,Oregon,US,p41051,p5,BPAT,Western,-122.658,45.5909,35061.0,False,0.0036503271072342845,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,OR,WREGIS
2010103,0.0,138.0,BPAT,Washington,US,p53011,p2,BPAT,Western,-122.615,45.6377,35062.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010104,57.74,138.0,BPAT,Washington,US,p53011,p2,BPAT,Western,-122.615,45.6377,35062.0,False,0.00359569985683211,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010105,0.0,138.0,BPAT,Washington,US,p53011,p2,BPAT,Western,-122.615,45.6377,35062.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010106,51.34,138.0,BPAT,Washington,US,p53055,p1,BPAT,Western,-122.692,48.5919,35063.0,False,0.0031971463569407783,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010107,26.95,138.0,PSEI,Washington,US,p53029,p1,BPAT,Western,-122.581,48.1206,35064.0,False,0.0016782838784486554,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010108,0.0,138.0,PSEI,Washington,US,p53029,p1,BPAT,Western,-122.581,48.1206,35064.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010109,0.0,138.0,PSEI,Washington,US,p53029,p1,BPAT,Western,-122.581,48.1206,35064.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010110,12.48,138.0,BPAT,Washington,US,p53041,p2,BPAT,Western,-122.651,46.6517,35065.0,False,0.0007771793247880973,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010111,0.0,138.0,BPAT,Washington,US,p53041,p2,BPAT,Western,-122.651,46.6517,35065.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010112,11.2,138.0,PSEI,Washington,US,p53067,p1,BPAT,Western,-122.649,46.8176,35066.0,False,0.0006974686248098307,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010113,0.0,138.0,PSEI,Washington,US,p53035,p1,BPAT,Western,-122.703,47.7207,35067.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
