sub_id,balancing_area
38507,Arizona
39284,PSCO
39282,PSCO
36438,CISO-PGAE
39409,WACM
39410,WACM
39411,WACM
39412,PACE
35791,PACW
36433,CISO-PGAE
36434,CISO-PGAE
36435,CISO-PGAE
36436,CISO-PGAE
36437,CISO-PGAE
39408,WACM
35805,PACW
39405,PACE
35804,BPAT
35803,PACW
35802,PACW
35801,IPCO
35800,PGE
35799,BPAT
35798,BPAT
35813,BPAT
35789,PACW
37205,CISO-SCE
37206,CISO-SCE
38488,Arizona
38487,WALC
38486,Arizona
39385,WACM
39386,WACM
39387,WACM
38485,Arizona
39389,WACM
35812,BPAT
35787,BPAT
35782,BPAT
35797,PGE
35796,GRID
35795,BPAT
35793,BPAT
35792,BPAT
39406,WACM
39407,WACM
39303,PSCO
39397,WACM
39305,WACM
38470,Arizona
38471,Arizona
38472,Arizona
38473,Arizona
38474,Arizona
38475,WALC
38476,Arizona
39304,WACM
39396,WACM
38463,Arizona
39302,WACM
35772,BPAT
38466,Arizona
38467,Arizona
38468,Arizona
38469,Arizona
38453,Arizona
38454,Arizona
39300,WACM
35811,BPAT
35810,PACW
35809,PACW
39402,WACM
39403,WACM
35808,BPAT
35807,BPAT
35806,BPAT
39400,WACM
39301,WACM
37246,CISO-SCE
39299,WACM
39298,PSCO
39297,PSCO
39296,PSCO
39295,WACM
39294,PSCO
39308,PSCO
39307,WACM
39306,PSCO
37779,CISO-SCE
37785,CISO-SCE
37786,IID
37787,CISO-SCE
37788,CISO-SDGE
37789,IID
37774,CISO-SCE
37775,IID
37776,CISO-SDGE
37777,CISO-SDGE
37778,IID
37784,CISO-SDGE
37780,IID
37781,WALC
36055,CISO-PGAE
36054,BANC
36053,CISO-PGAE
36051,CISO-PGAE
36050,CISO-PGAE
36049,CISO-PGAE
36048,CISO-PGAE
37773,CISO-SCE
37790,CISO-SDGE
37747,CISO-SCE
37748,CISO-SCE
38891,EPE
38892,PNM
36042,CISO-PGAE
36041,CISO-PGAE
37801,CISO-SCE
37802,CISO-SCE
37803,CISO-SCE
37804,CISO-SCE
39573,IPCO
37791,CISO-SCE
37792,CISO-SCE
37793,CISO-SCE
37794,CISO-SCE
37795,CISO-SCE
37796,IID
37797,CISO-SCE
37782,IID
37783,CISO-SCE
39551,PACE
36021,CISO-PGAE
36019,BANC
37798,CISO-SDGE
37799,CISO-SDGE
37800,CISO-SCE
36018,CISO-PGAE
36656,BANC
36652,CISO-PGAE
36651,CISO-SCE
36646,CISO-PGAE
36022,CISO-PGAE
36670,NEVP
37993,NEVP
37994,NEVP
37995,NEVP
37996,NEVP
36669,CISO-SCE
36667,CISO-PGAE
36665,CISO-PGAE
39544,IPCO
39568,PACE
39574,IPCO
39575,IPCO
39710,NWMT
39709,NWMT
39708,BPAT
39707,NWMT
39706,NWMT
39565,IPCO
39566,IPCO
39567,PACE
37746,IID
39569,PACE
39570,IPCO
39571,IPCO
39572,IPCO
39705,NWMT
36057,CISO-PGAE
36056,CISO-PGAE
36643,CISO-SCE
36642,TIDC
39711,NWMT
38901,PNM
38900,EPE
38883,EPE
38899,PNM
39693,NWMT
37725,CISO-SDGE
39714,NWMT
39696,NWMT
39713,NWMT
39712,NWMT
39704,NWMT
37768,IID
37735,IID
38886,EPE
37731,CISO-SDGE
38888,PNM
38889,EPE
38890,PNM
37730,IID
37729,CISO-SCE
37728,CISO-SCE
37763,CISO-SCE
37769,CISO-SCE
37770,CISO-SCE
37771,IID
37772,CISO-SCE
39759,EPE
37715,CISO-SDGE
37716,CISO-SCE
39760,EPE
39761,EPE
37762,IID
37727,CISO-SDGE
37764,IID
37765,CISO-SCE
37766,CISO-SDGE
37767,CISO-SCE
38902,PNM
39700,NWMT
39701,NWMT
39702,BPAT
39703,NWMT
37752,IID
37758,IID
37759,IID
37760,CISO-SDGE
37761,IID
36036,BANC
36046,CISO-PGAE
36045,CISO-PGAE
37749,CISO-SCE
37750,CISO-SCE
37751,CISO-SCE
37757,CISO-SDGE
36043,CISO-PGAE
37754,CISO-SCE
37755,IID
37756,CISO-SCE
37741,CISO-SDGE
37742,CISO-SCE
37743,CISO-SDGE
37744,CISO-SCE
37745,CISO-SDGE
36428,CISO-PGAE
37726,CISO-SCE
37740,IID
38881,PNM
37739,IID
39687,BPAT
37736,CISO-SCE
38896,PNM
39690,NWMT
38895,PNM
36427,CISO-PGAE
36664,CISO-SCE
38894,PNM
38898,EPE
37718,IID
38893,PNM
37720,IID
37721,IID
38897,PNM
36038,CISO-PGAE
36037,CISO-PGAE
36060,CISO-PGAE
37998,NEVP
37999,NEVP
38000,NEVP
38001,NEVP
37988,NEVP
37989,NEVP
37990,NEVP
37991,NEVP
37992,NEVP
36061,CISO-PGAE
37997,NEVP
36059,CISO-PGAE
37289,CISO-SCE
37290,CISO-SCE
37291,LDWP
37292,CISO-PGAE
37293,CISO-SCE
37294,CISO-PGAE
37295,CISO-SCE
37296,CISO-SCE
37281,CISO-PGAE
38003,NEVP
39563,AVA
38010,NEVP
38011,NEVP
38012,NEVP
38013,NEVP
38014,NEVP
38731,PACE
38730,PACE
38729,PACE
38002,NEVP
37282,CISO-PGAE
38004,NEVP
38005,NEVP
38006,NEVP
38007,NEVP
38008,NEVP
38009,NEVP
38728,PACE
36063,CISO-PGAE
36062,PACW
37252,CISO-SCE
36066,BANC
37259,CISO-SCE
37260,CISO-PGAE
37261,CISO-PGAE
37262,LDWP
37263,LDWP
37264,CISO-PGAE
37265,CISO-SCE
37266,LDWP
37251,CISO-SCE
36067,CISO-PGAE
37253,LDWP
37254,CISO-SCE
37255,CISO-PGAE
37256,CISO-SCE
37257,LDWP
37258,LDWP
37243,CISO-SCE
37244,CISO-PGAE
37245,CISO-SCE
37277,CISO-PGAE
37283,CISO-PGAE
37284,CISO-SCE
37285,CISO-PGAE
37286,LDWP
37287,CISO-SCE
37288,CISO-SCE
37273,CISO-SCE
37274,CISO-SCE
37275,CISO-SCE
37276,LDWP
36426,CISO-PGAE
37278,CISO-SCE
37279,CISO-PGAE
37280,CISO-SCE
36058,CISO-PGAE
39275,WACM
36071,CISO-PGAE
36070,BANC
36069,CISO-PGAE
36068,CISO-PGAE
36444,CISO-PGAE
36450,CISO-PGAE
36451,CISO-PGAE
36452,CISO-PGAE
36453,CISO-PGAE
36454,CISO-PGAE
36693,CISO-PGAE
36692,CISO-PGAE
36691,BANC
36442,CISO-PGAE
36443,CISO-PGAE
36678,CISO-PGAE
36445,CISO-PGAE
36446,CISO-PGAE
36447,CISO-PGAE
36448,CISO-PGAE
36449,CISO-PGAE
36690,CISO-PGAE
36689,CISO-PGAE
39560,IPCO
39561,IPCO
36024,CISO-PGAE
39546,AVA
39547,IPCO
36660,CISO-PGAE
39549,IPCO
39550,IPCO
36028,CISO-PGAE
36026,CISO-PGAE
39535,IPCO
39536,IPCO
39537,AVA
39562,IPCO
39539,IPCO
39541,PACE
36685,TIDC
36684,CISO-PGAE
36683,CISO-PGAE
36682,CISO-PGAE
36681,CISO-PGAE
36680,CISO-PGAE
36679,CISO-PGAE
37968,NEVP
36016,CISO-PGAE
36015,CISO-PGAE
36011,CISO-PGAE
37977,NEVP
37978,NEVP
37979,NEVP
39564,PACE
36010,CISO-PGAE
36008,CISO-PGAE
38727,PACE
36694,CISO-PGAE
37969,NEVP
37970,NEVP
37971,NEVP
36677,BANC
36676,CISO-PGAE
36675,CISO-SCE
38732,PACE
36424,CISO-PGAE
36425,CISO-PGAE
39557,PACE
36439,CISO-PGAE
36440,CISO-PGAE
36441,CISO-PGAE
36688,CISO-SCE
36687,CISO-PGAE
36686,CISO-PGAE
39553,PACE
36006,BANC
39555,PACE
36698,NEVP
37980,NEVP
37981,NEVP
37982,NEVP
36697,BANC
36696,CISO-PGAE
37985,NEVP
37986,NEVP
37987,NEVP
36695,CISO-PGAE
39388,WACM
36031,CISO-PGAE
39552,BPAT
36666,CISO-SCE
37723,CISO-SCE
35428,CHPD
37200,CISO-SCE
37214,CISO-SCE
36671,CISO-PGAE
39277,WACM
35429,DOPD
36034,CISO-PGAE
39392,WACM
35433,BPAT
37719,CISO-SCE
35434,BPAT
37753,CISO-SCE
35783,PACW
35453,BPAT
39287,WACM
37976,NEVP
35777,BPAT
39399,PACE
38459,Arizona
36013,PACW
35424,BPAT
39394,WACM
36641,CISO-PGAE
37972,NEVP
35770,BPAT
39692,NWMT
36649,CISO-PGAE
39391,WACM
37975,NEVP
39694,NWMT
36673,CISO-PGAE
39398,WACM
36052,CISO-PGAE
36029,CISO-PGAE
35790,GRID
36636,CISO-PGAE
39698,BPAT
36039,CISO-PGAE
35426,PSEI
37983,NEVP
36658,CISO-SCE
36017,CISO-PGAE
35780,BPAT
36648,CISO-SCE
37984,NEVP
39758,EPE
35767,BPAT
37724,CISO-SCE
39273,PSCO
39699,NWMT
35774,BPAT
38450,Arizona
36044,CISO-PGAE
35768,PACW
39393,PACE
35776,PGE
36007,CISO-PGAE
36647,CISO-PGAE
38726,PACE
35785,BPAT
39688,NWMT
39276,PSCO
38882,PNM
39691,NWMT
37717,CISO-SDGE
35771,BPAT
37211,CISO-SCE
38885,PNM
35427,BPAT
39538,BPAT
38465,Arizona
35440,PSEI
38446,Arizona
36639,CISO-PGAE
35451,BPAT
36637,CISO-PGAE
38884,PNM
36020,CISO-PGAE
39401,PACE
38876,PNM
38765,PNM
36032,CISO-PGAE
35788,IPCO
37852,NEVP
39609,NWMT
39534,PACE
36035,CISO-PGAE
39470,NEVP
38547,PACE
35452,AVA
37974,NEVP
36027,PACW
39554,IPCO
39390,WACM
35775,PGE
37965,NEVP
36644,CISO-PGAE
37714,CISO-SCE
38543,PACE
38785,PNM
39652,NWMT
36661,CISO-SCE
38713,PACE
37973,NEVP
39616,NWMT
39695,BPAT
39285,WACM
38855,PNM
38810,EPE
37733,CISO-SCE
35794,BPAT
38527,PACE
38719,PACE
39274,PSCO
38041,Arizona
39596,NWMT
39559,PACE
38753,PNM
39280,WACM
38464,Arizona
39269,WACM
36009,CISO-PGAE
38049,Arizona
38440,WALC
37958,NEVP
38718,PACE
36023,BANC
38700,PACE
38438,WALC
35773,BPAT
38560,PACE
36040,PACW
38819,PNM
38038,WALC
38540,PACE
39653,NWMT
38522,PACE
38377,Arizona
37202,CISO-SCE
38857,PNM
38871,PNM
37955,NEVP
37864,NEVP
39477,IPCO
37860,NEVP
37855,CISO-VEA
38378,Arizona
38715,PACE
38779,EPE
38421,WALC
38717,PACE
38391,PACE
39581,NWMT
38711,PACE
37856,CISO-VEA
38685,PACE
38426,WALC
38385,Arizona
38762,PNM
38539,PACE
39757,EPE
39286,WACM
38854,EPE
35926,PACW
37962,NEVP
38716,PACE
38394,Arizona
38644,PACE
39621,NWMT
35786,BPAT
39682,BPAT
39601,NWMT
39630,NWMT
38701,PACE
39558,IPCO
39283,WACM
39266,WACM
38462,Arizona
39664,BPAT
35747,GRID
39404,WACM
39380,WACM
39689,NWMT
38696,PACE
38770,EPE
36634,CISO-PGAE
39642,NWMT
39647,NWMT
38059,Arizona
35765,BPAT
39129,WACM
35781,BPAT
35743,BPAT
39604,NWMT
39272,WACM
38757,PNM
35313,BPAT
39597,NWMT
38712,PACE
39542,IPCO
38024,Arizona
39483,IPCO
39620,NWMT
38702,PACE
38705,PACE
37227,CISO-SCE
38526,PACE
38961,PSCO
39020,PSCO
35594,PACW
38044,WALC
39356,WACM
38414,WALC
36033,CISO-PGAE
39545,AVA
38384,Arizona
39671,BPAT
35439,BPAT
38390,Arizona
38821,EPE
38348,Arizona
39247,WACM
35753,BPAT
38887,PNM
38856,PNM
38536,PACE
39482,IPCO
39643,NWMT
35454,AVA
38417,WALC
38643,PACE
38407,Arizona
39345,PACE
35320,BPAT
39369,WACM
38058,Arizona
38760,PNM
39611,NWMT
38982,PSCO
35335,DOPD
38921,WACM
36640,CISO-PGAE
35533,PACW
37963,NEVP
39271,PSCO
39523,PACE
38914,PSCO
39594,NWMT
39638,NWMT
39615,NWMT
38382,Arizona
36000,PACW
38303,Arizona
38758,PNM
39261,WACM
38635,PACE
38903,WACM
38046,Arizona
38408,Arizona
35510,PACW
39598,NWMT
39673,NWMT
39633,NWMT
39685,BPAT
39584,NWMT
39697,NWMT
39556,BPAT
39262,WACM
38678,PACE
38640,PACE
38756,PNM
39265,PSCO
38790,PNM
38752,PNM
38399,Arizona
39340,PACE
38436,WALC
38754,PNM
35759,BPAT
38027,WALC
39334,PACE
39548,IPCO
38299,Arizona
38978,PSCO
38851,EPE
39659,BPAT
38826,PNM
38958,PSCO
37854,NEVP
39383,WACM
39576,NWMT
38052,Arizona
38944,PSCO
39249,WACM
39498,IPCO
38771,PNM
38987,WACM
38695,PACE
39355,WACM
38054,WALC
39599,NWMT
37841,NEVP
39259,PSCO
39677,NWMT
39683,BPAT
38873,PNM
39679,BPAT
39580,NWMT
38720,PACE
38829,PNM
35730,PACW
39429,AVA
39495,IPCO
38636,PACE
38314,Arizona
38787,PNM
39011,PSCO
39424,AVA
39732,EPE
35285,BPAT
38725,PACE
39608,NWMT
38327,Arizona
35425,BPAT
38541,PACE
37699,CISO-SCE
39585,NWMT
38333,Arizona
37697,IID
38679,PACE
38425,WALC
38435,WALC
38879,PNM
38992,PSCO
39034,WACM
38552,PACE
38791,PNM
39674,NWMT
38648,PACE
37737,IID
38431,WALC
37956,NEVP
39505,IPCO
38703,PACE
38980,WACM
38968,WACM
39686,BPAT
39654,NWMT
39502,IPCO
38604,PACE
39607,NWMT
35525,BPAT
38776,EPE
35337,DOPD
35784,BPAT
35365,BPAT
38437,WALC
38517,PACE
39395,PACE
38962,WACM
38977,WACM
37732,CISO-SDGE
39612,NWMT
38950,PSCO
38533,PACE
39381,WACM
36663,CISO-PGAE
38682,PACE
36744,CISO-SCE
38846,PNM
37858,NEVP
36005,CISO-PGAE
39507,PACE
39378,WACM
36655,CISO-PGAE
35842,CISO-PGAE
39629,NWMT
39244,WACM
38441,PNM
38532,PACE
39242,PSCO
39352,PACE
39241,PSCO
36672,CISO-PGAE
39353,PACE
39267,PSCO
38863,PNM
38561,PACE
39600,NWMT
38183,Arizona
39583,NWMT
38443,PNM
38422,WALC
38823,EPE
35315,BPAT
39577,NWMT
39603,NWMT
39635,NWMT
38379,Arizona
39497,IPCO
37215,CISO-PGAE
38042,Arizona
39382,WACM
38055,Arizona
39736,EPE
38424,WALC
38907,PSCO
39632,NWMT
38838,EPE
38994,PSCO
39754,EPE
38579,PACE
38319,Arizona
38428,PNM
38868,PNM
37857,NEVP
38047,Arizona
38176,Arizona
38953,PSCO
38708,PACE
35870,CISO-PGAE
39254,WACM
39628,NWMT
38571,PACE
38759,EPE
38926,WACM
38852,PNM
39543,IPCO
35557,BPAT
38317,Arizona
35435,DOPD
37189,CISO-SCE
38028,WALC
38534,PACE
36650,CISO-SCE
35375,BPAT
38294,Arizona
35341,BPAT
39504,IPCO
38364,Arizona
39639,NWMT
38427,PNM
39357,WACM
37809,CISO-PGAE
35013,BPAT
39606,NWMT
35628,BPAT
35731,PACW
36047,CISO-PGAE
38766,PNM
35746,GRID
38218,Arizona
38542,PACE
39251,WACM
35869,CISO-PGAE
39528,PACE
38853,PNM
38699,PACE
35131,PSEI
39248,PSCO
35412,AVA
35298,BPAT
37844,NEVP
39646,NWMT
38761,PNM
39631,NWMT
39669,BPAT
38393,Arizona
35591,PGE
38859,PNM
39511,PACE
35000,BPAT
35437,PSEI
39493,IPCO
35859,PACW
38870,PNM
37713,WALC
39540,IPCO
35371,GCPD
38972,PSCO
38710,PACE
38979,PSCO
37235,CISO-SCE
38537,PACE
36725,CISO-PGAE
39532,PACE
35446,PSEI
35761,BPAT
38877,PNM
38432,WALC
38986,WACM
39019,PSCO
35745,BPAT
38455,Arizona
38940,WACM
39735,EPE
35343,BPAT
38874,PNM
39627,NWMT
39337,PACE
39590,NWMT
38773,PNM
38872,PNM
39211,WACM
38935,PSCO
39336,PACE
38966,PSCO
39364,WACM
39338,PACE
35649,PGE
38697,PACE
35003,BPAT
39010,PSCO
39250,PSCO
38649,PACE
38789,PNM
35377,AVA
35837,CISO-PGAE
38683,PACE
38919,WACM
36645,CISO-PGAE
39107,PSCO
38634,PACE
39375,WACM
39579,NWMT
39365,WACM
38706,PACE
38905,PSCO
37964,NEVP
38684,PACE
35839,CISO-PGAE
39170,PSCO
35052,PSEI
39332,PACE
35862,CISO-PGAE
39500,IPCO
39662,NWMT
35994,CISO-PGAE
35436,BPAT
39582,NWMT
36741,CISO-SCE
38917,WACM
39238,WACM
39680,BPAT
35581,PACW
35725,PACW
39255,WACM
35043,BPAT
35846,BANC
35716,BPAT
37961,NEVP
35066,PSEI
39232,PSCO
39070,WACM
38975,PSCO
39350,PACE
38556,PACE
36118,CISO-PGAE
38400,Arizona
38959,WACM
39530,PACE
37479,CISO-SCE
39658,NWMT
35379,BPAT
36412,CISO-PGAE
35584,BPAT
36552,CISO-PGAE
37657,CISO-SCE
35407,AVA
38764,PNM
35349,GCPD
35523,BPAT
35364,DOPD
36668,CISO-PGAE
35871,CISO-PGAE
35346,DOPD
35873,CISO-PGAE
39485,IPCO
39514,PACE
35763,BPAT
35311,BPAT
37674,CISO-SCE
35383,AVA
35532,PGE
35634,PACW
38813,PNM
38403,Arizona
38724,PACE
35732,BPAT
39427,IPCO
38923,WACM
38370,Arizona
39331,PACE
39233,PSCO
35606,PGE
39473,IPCO
36699,CISO-PGAE
38878,PNM
35548,PACW
38949,WACM
38763,PNM
39681,BPAT
35397,AVA
36662,CISO-PGAE
35511,PACW
38423,Arizona
39491,NWMT
39270,PSCO
35613,PGE
35065,BPAT
35125,BPAT
35645,PGE
35422,AVA
39246,PSCO
39227,PSCO
36633,CISO-PGAE
35314,BPAT
38850,EPE
39428,AVA
35118,PSEI
38410,Arizona
36099,CISO-PGAE
35992,CISO-PGAE
38369,Arizona
38938,PSCO
36713,CISO-PGAE
35844,PACW
35852,PACW
39648,NWMT
38434,WALC
39433,AVA
39421,IPCO
39487,IPCO
35612,BPAT
35352,DOPD
35834,CISO-PGAE
38864,PNM
37821,NEVP
38599,PACE
36674,CISO-PGAE
36525,CISO-PGAE
36277,CISO-PGAE
37708,IID
36632,CISO-PGAE
38045,WALC
39750,EPE
38691,PACE
35519,PACW
38439,WALC
39488,IPCO
38057,Arizona
35004,BPAT
38444,PNM
38788,PNM
35588,PGE
37966,NEVP
38995,PSCO
35762,IPCO
36014,CISO-PGAE
35382,BPAT
38528,PACE
38359,Arizona
35302,PSEI
39413,IPCO
38268,Arizona
35354,GCPD
39531,PACE
35543,BPAT
35987,PACW
39478,BPAT
35744,BPAT
35836,CISO-PGAE
35847,CISO-PGAE
38551,PACE
36471,CISO-PGAE
39268,WACM
38918,PSCO
35644,PACW
35445,AVA
38144,Arizona
35977,BANC
35728,BPAT
37722,CISO-SDGE
37616,CISO-SCE
36030,CISO-PGAE
38934,WACM
38936,WACM
38920,WACM
38772,PNM
37926,NEVP
38806,PNM
38993,PSCO
37848,NEVP
38939,WACM
35571,PGE
38387,Arizona
35002,BPAT
37012,CISO-SCE
35726,PGE
38548,PACE
39348,PACE
38969,WACM
35099,PSEI
39339,PACE
38034,Arizona
39634,NWMT
35553,BPAT
36317,CISO-PGAE
36629,CISO-VEA
36012,CISO-PGAE
35419,AVA
35713,PGE
38244,Arizona
35046,BPAT
39637,NWMT
39201,WACM
35376,BPAT
39472,BPAT
39260,WACM
38983,PSCO
38386,Arizona
38166,Arizona
38405,Arizona
38235,Arizona
38343,Arizona
38063,Arizona
38627,PACE
39672,NWMT
38308,Arizona
38964,PSCO
39506,PACE
35092,BPAT
38930,WACM
36098,CISO-PGAE
35363,DOPD
38221,Arizona
38925,PSCO
39333,PACE
35722,BPAT
38645,PACE
39263,PSCO
38973,PSCO
35998,PACW
35308,BPAT
35625,PGE
38861,PNM
35332,CHPD
38519,PACE
36773,CISO-SCE
35001,BPAT
36555,CISO-PGAE
38951,PSCO
35851,CISO-PGAE
36709,CISO-PGAE
38383,Arizona
35602,BPAT
38396,Arizona
37853,NEVP
37174,CISO-SCE
39435,AVA
36659,CISO-PGAE
38205,Arizona
38928,PSCO
39452,IPCO
35735,BPAT
35396,AVA
35305,PSEI
35514,PACW
38704,PACE
38755,PNM
39447,AVA
39716,EPE
36332,CISO-PGAE
36267,CISO-PGAE
36702,CISO-PGAE
35522,BPAT
38277,Arizona
35526,PACW
39486,IPCO
35567,PACW
37851,NEVP
39649,NWMT
39253,WACM
36113,CISO-PGAE
35833,CISO-PGAE
35381,AVA
38880,PNM
39414,IPCO
38389,Arizona
36613,CISO-SCE
36540,CISO-PGAE
35005,BPAT
37812,NEVP
37507,CISO-SCE
35342,CHPD
38841,PNM
39655,BPAT
35538,PACW
38999,PSCO
35319,BPAT
39499,IPCO
38033,Arizona
36543,CISO-PGAE
39650,NWMT
37671,CISO-SDGE
37689,CISO-SCE
38538,PACE
38822,PNM
38416,Arizona
35272,PSEI
35521,BPAT
35033,BPAT
35993,CISO-PGAE
35865,CISO-PGAE
35708,PGE
35036,PSEI
35752,BPAT
36547,CISO-PGAE
38433,WALC
38164,Arizona
39243,PSCO
39372,WACM
36583,CISO-PGAE
35999,CISO-PGAE
36078,CISO-PGAE
39475,IPCO
36393,CISO-PGAE
38865,PNM
39154,PSCO
35058,BPAT
38404,Arizona
38834,EPE
35380,AVA
38965,PSCO
38050,WALC
36337,CISO-PGAE
38783,PNM
36615,CISO-SCE
39426,AVA
35751,BPAT
38963,PSCO
38941,PSCO
38091,Arizona
36596,CISO-PGAE
38835,EPE
38807,EPE
35748,GRID
35017,BPAT
38647,PACE
37705,IID
35562,PGE
39494,IPCO
39009,PSCO
38812,PNM
39651,NWMT
38811,PNM
35509,PACW
38839,EPE
38324,Arizona
39446,AVA
35633,PACW
37543,CISO-SCE
35374,DOPD
39228,WACM
36618,CISO-SCE
38967,WACM
39128,PSCO
35849,PACW
35524,BPAT
36626,CISO-SCE
36628,CISO-VEA
39663,NWMT
39479,IPCO
38818,EPE
38278,Arizona
36001,CISO-PGAE
36701,CISO-PGAE
39229,PSCO
38195,Arizona
35417,AVA
35858,PACW
36110,CISO-PGAE
36541,CISO-PGAE
38392,Arizona
39134,PSCO
39047,PSCO
38553,PACE
39684,BPAT
35087,PSEI
38692,PACE
36197,CISO-PGAE
39668,BPAT
35060,PSEI
38048,Arizona
39751,EPE
35327,CHPD
35079,BPAT
35027,BPAT
38929,WACM
38288,Arizona
35848,CISO-PGAE
39666,BPAT
38840,EPE
37394,CISO-SCE
36614,CISO-PGAE
37207,CISO-SCE
38805,PNM
35542,BPAT
39417,IPCO
39518,PACE
38946,PSCO
35347,GCPD
36411,CISO-PGAE
36527,TIDC
35578,PGE
35976,CISO-PGAE
38775,PNM
38518,PACE
39718,EPE
38676,PACE
35403,AVA
38677,PACE
37711,IID
39256,PSCO
39351,PACE
38023,WALC
39533,PACE
38688,PACE
35537,BPAT
38689,PACE
39245,WACM
38256,Arizona
35309,BPAT
36505,CISO-PGAE
36187,CISO-PGAE
35318,CHPD
39476,IPCO
39484,IPCO
38767,PNM
35531,PACW
35539,PGE
38954,PSCO
36548,CISO-PGAE
38942,WACM
36570,CISO-PGAE
35908,BANC
38025,WALC
36735,CISO-SCE
35117,BPAT
38097,Arizona
38141,Arizona
38817,EPE
38152,Arizona
38418,Arizona
38814,PNM
38815,PNM
35583,PACW
39444,IPCO
35386,AVA
